Montag
Place, time, description

Rote Insel, 19:00, vegi und Fleisch

Bödiker 9, 20:00, vegane Vokü

Drugstore, 20:00, vegane Vokü im Bierrechtscafé

Kreutziger 19, 20:00, Weltküche

New Yorck (im Bethanien), jeden Mo 20:00, vegan

im Rahmen der DruzBar, 1. und 3. Mo im Monat, Vokü und Soli-Cocktailbar

V36, 20:00, Montagsphobie: vegane Burgervokü und Bar

Zielona Gora, 20:00 (jeden 1. Mo im Monat), vegan

Abstand, 22:00, Vegan Burger

Sama-Café, 23:00 vegetarisch/vegan


Dienstag

Thommy-Weißbecker-Haus, Kiez-Cuisine, 18:00

B5355, 19:00 jeden 1. + 3. Di im Monat, Küche für alle (vegan mit glutenfreier Alternative)

Groni50, 20:00 vegan/veget. (jeden 1. + 3. Di im Monat)

Köpi, 20:00, vegan

M29, 20:00, vegan (jeden 1. Di im Monat)

Schreina47, 20:00

X-B-Liebig, 21:00 vegan


Mittwoch

Schokofabrik (Mariannenstr.), 18:00, Frauen-Volksküche im Schoko-Café

Rauchhaus, 19:05

B-Lage, 20:00, vegan

Kadterschmiede, 20:00, vegan

Subversiv, 20:00, vegan

Schreina47, 20:00

Vetomat, 20:00

Köpi, 20:30, vegan

La Casa, 21:00 (vegetarisch/vegan)

X-B-Liebig, Antira-Vokü 21:00 vegan

Sama-Café, 22:00 vegetarisch/vegan


Donnerstag

FE61, Gitschiner Str. 61, 19:30 (jeden 1. und 3. Do im Monat)

Lunte 19:30

Kreutziger 19, 20:00

KvU, Fleischesser-Asyl 20:00

Rote Insel, 20:00 vegan (jeden 2. und 4. Do im Monat)

Schreina47, 20:00

Zielona Gora, 20:00 vegan (jeden 4. Do im Monat, im Rahmen des Metal-Tresen)

Abstand, 21:00 vegetarische Vokü + Kuchen


Freitag

Bandito Rosso, 20:00 leckeres Drei-Gänge-Menü (vegan/manchmal auch vegetarisch)

Lunte, 20:00, vegetarisch und Fleisch

Zielona Gora, 20:00 vegan (jeden 4. Fr im Monat)

La Casa, jeden 2.+4. Fr 21:00 (vegetarisch)

Rote Insel, ab 21:00 gibt's Steinofenpizza

Villa Kunterbunt 21:00, vegetarisch

Sama-Café, 22:00 vegetarisch


Samstag

Vetomat, 12:00-16:00 jeden 1. + 3. Samstag im Monat Brunch

Zielona Gora, 12:15 Solibrunch (vegan/veget.), jeden 2. Samstag im Monat


Sonntag

Erreichbar, 12:00 veganer AntiRa-Soli-Brunch

Schreina47, 12:00 Frühstück mit Espresso

KvU, Frühstück 13:00

Projektraum, 13:00 veganer Sonntagsbrunch

Scherer 8, 13:00 Vegan-Brunch

Supamolly, Café 16:00-20:00

Ausland, Lychenerstr. 60 (P-Berg), 18:00, vegan/vegetarisch (für 1,50 Euro)

Café Cralle, 19:00 vegan/vegetarisch

Freudenhaus, vegetarisch ca. 19:09 (nach der Lindenstr.)

Zielona Gora, vegane Vokü 19:09 (nach Lindenstraße)

X-B-Liebig, 20:00 vegan
